select s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description, count(*) from sirivm_journeys as s left join timetable_journeys as t on s.departure_time = t.departure_time and s.origin = t.origin and s.destination = t.destination group by s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description order by s.operator_code, s.line_name, t.operator_code, t.line_name;
+-----------------+-------------+-----------------+----------------------------+--------------------------------------------------------------------------------------+---------+
| operator_code   | line_name   | operator_code   | line_name                  | service_description                                                                  | count   |
| WP              | 63          | WHIP            | 63                         | Eynesbury - St Neots - Eaton Socon Circular                                          | 1       |
| WP              | 75          | <null>          | <null>                     | <null>                                                                               | 10      |
| WP              | C           | WHIP            | C|the busway               | Somersham - St Ives - Longstanton - Central Cambridge - Rail Station                 | 30      |
| WP              | U           | WHIP            | U                          | Madingley Road P & R - Addenbrookes Hospital                                         | 75      |
| ZSIN            | 33          | ZSIN            | 33                         | Central Milton Keynes - Wolverton - Hanslope - Roade - Northampton                   | 1       |
| ZSIN            | 33          | <null>          | <null>                     | <null>                                                                               | 3       |
| ZSIN            | 33A         | <null>          | <null>                     | <null>                                                                               | 5       |
+-----------------+-------------+-----------------+----------------------------+--------------------------------------------------------------------------------------+---------+
SELECT 174

